id,title-jp,title-ro,vol,author1-jp,author1-ro,author2-jp,author2-ro,author3-jp,author3-ro,ed-jp,ed-ro,出版地 260,出版社 260,出版年 260,place,publisher,date,pages,シリーズ,series,price,検閲文書,Accompanying Materials,dup,CCD_No,CCD_Date,Circulation,Note,CCD_P_Stamp
301-0036,少年少女生活敎室 ,Sonyon sonyo saenghwal kyosil ,,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部文敎部,1947,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu Mungyobu,1947,"[2], 121 p. : ill.  ; 21 cm.",,,Y25,,,1,B-5857 ; B-524,,,"""第4, 5, 6學年共用""-- Cover",J-5002
301-0037v_1,미술 ,Misul ,"[v. 1.] 一, 二學年用",朝鮮新民生社編集局,Choson Sin Minsaengsa Pyonjipkuk,,,,,,,大阪 ,朝鮮新民生社編集局,1949,Osaka ,Choson Sin Minsaengsa Pyonjipkuk,1949,"[3] p., 22 sheets : ill. (chiefly color.) ; 15 x 21 cm.",,,Y50,1,,,P-4529,1/23/49,10000,,
301-0037v_2,미술 ,Misul ,"[v. 2.] 三, 四學年用",朝鮮新民生社編集局,Choson Sin Minsaengsa Pyonjipkuk,,,,,,,大阪 ,朝鮮新民生社編集局,1949,Osaka ,Choson Sin Minsaengsa Pyonjipkuk,1949,"[3] p., 22 sheets : ill. (chiefly color.) ; 15 x 21 cm.",,,Y50,1,,,P-4530,6/23/49,10000,,
301-0037v_3,미술 ,Misul ,[v. 3.] 高級學年用,朝鮮新民生社編集局,Choson Sin Minsaengsa Pyonjipkuk,,,,,,,大阪 ,朝鮮新民生社編集局,1949,Osaka ,Choson Sin Minsaengsa Pyonjipkuk,1949,"[3] p., 22 sheets : ill. (chiefly color.) ; 15 x 21 cm.",,,Y50,2,,,P-4695,7/1/49,10000,,
301-0038v_1,初等國語讀本 ,Chodung kugo tokpon ,1(上巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[1], 62 p. : ill.  ; 21cm.",,,,,,,4726,6/13/46,,,J-2032
301-0038v_2,初等國語讀本 ,Chodung kugo tokpon ,2(中巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[2], 72 p. : ill.  ; 21cm.",,,,,,,4727,6/13/46,,,J-2032
301-0039v_1,初等理科,Chodung ikwa,1(上巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[1], 59 p. : ill. ; 21 cm.",,,,,,,4725,6/13/46,,,J-2032
301-0039v_2,初等理科,Chodung ikwa,2(下巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[1], 81 p. : ill. ; 21 cm.",,,,,,,A-263,12/11/47,,,J-5002
301-0040,初等朝鮮地理: 全,Chodung Chonson chiri: chon,,初等敎材編纂委員會編,Chodung Kyoae Pyonchan Wiwonhoe pyon,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[2], 147 p. : ill.  ; 21cm.",,,,,,,9353,,,,
301-0040g,初等朝鮮地理: 全,Chodung Chonson chiri: chon,,初等敎材編纂委員會編,Chodung Kyoae Pyonchan Wiwonhoe pyon,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[2], 147 p. : ill.  ; 21cm.",,,,,,,9353,10/7/46,,"""OC""",
301-0041,朝鮮史入門 ,Chosonsa immun ,1(上巻),林光澈著,Im Kwang-chol cho,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部文敎部,1948,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu Mungyobu,1948,"[3], 142 p. : ill. maps  ; 21cm.",,,Y25,,,1,C-649; I-197(Dup.),6/30/48,,CIE No. 350.03-2192,J-5002
301-0042,어린이과학예기 ,Orini kwahak yegi ,,在日本朝鮮人聯盟中央總本部文敎部,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu Mungyobu,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部文敎部,1947,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu Mungyobu,1947,"[1], 55 p. : ill.  ; 18cm.",Pudokpon ; 4,Pudokpon ; 4,Y10,,,1,B-4092,11/20/47,20000,,J-5002
